NAME	LOCATION	AGE_MA	DIAM_KM	LAT	LONG
Acraman	S Australia, Australia	590	90.0	-32.02	135.45
Ames	Oklahoma, U.S.A.	470 ± 30	16.0	36.25	-98.20
Amguid	Algeria	<0.1	0.450	26.08	4.38
Aorounga	Chad, Africa	<345	12.6	19.10	19.25
Aouelloul	Mauritania	3.1 ± 0.3	0.390	20.25	-12.68
Araguainha Dome	Brazil	247.0 ± 5.5	40.0	-16.78	-52.98
Avak	Alaska, U.S.A.	>95	12.0	71.25	-156.63
Azuara	Spain	~40	30.0	41.17	-0.92
B.P. Structure	Libya	<120	3.2	25.32	24.33
Barringer	Arizona, U.S.A.	0.049 ± 0.003	1.186	35.03	-111.02
Beaverhead	Montana, U.S.A.	~600	60.0	44.60	-113.00
Beyenchime-Salaatin	Russia	<65	8.0	71.83	123.50
Bigach	Kazakhstan	6 ± 3	7.0	48.50	82.00
Boltysh	Ukraine	88 ± 3	24.0	48.75	32.17
Bosumtwi	Ghana	1.03 ± 0.02	10.5	6.50	-1.42
Boxhole	N'rn Terr., Australia	0.0300 ± 0.05	0.170	-22.62	135.20
Brent	Ontario, Canada	396	3.8	46.08	-78.48
Calvin	Michigan, USA	450 ± 10	8.5	41.83	-85.95
Campo Del Cielo	Argentina	<0.004	0.05	-27.63	-61.70
Carswell	Saskatchewan, Canada	115 ± 10	39.0	58.45	-109.50
Charlevoix	Quebec, Canada	357 ± 15	54.0	47.53	-70.30
Chesapeake Bay	Virginia, U.S.A.	35.5 ± 0.3	85.0	37.28	-76.02
Chicxulub	Yucatan, Mexico	64.98 ± 0.05	170.0	21.33	-89.50
Chiyli	Kazakhstan	46 ± 7	5.5	49.17	57.85
Clearwater East	Quebec, Canada	290 ± 20	26.0	56.08	-74.12
Clearwater West	Quebec, Canada	290 ± 20	36.0	56.22	-74.50
Connolly Basin	W Australia, Australia	<60	9.0	-23.53	124.75
Couture	Quebec, Canada	430 ± 25	8.0	60.13	-75.33
Crooked Creek	Missouri, U.S.A.	320 ± 80	7.0	37.83	-91.38
Dalgaranga	W Australia, Australia	0.027	0.021	-27.63	117.12
Decaturville	Missouri, U.S.A.	<300	6.0	37.90	-92.72
Deep Bay	Saskatchewan, Canada	100 ± 50	13.0	56.40	-102.98
Dellen	Sweden	89.0 ± 2.7	19.0	61.80	16.80
Des Plaines	Illinois, U.S.A.	<280	8.0	42.05	-87.87
Dobele	Latvia	300 ± 35	4.5	56.58	23.25
Eagle Butte	Alberta, Canada	<65	10.0	49.70	-110.50
Elbow	Saskatchewan, Canada	395 ± 25	8.0	50.98	-106.72
El'gygytgyn	Russia	3.5 ± 0.5	18.0	67.50	172.00
Flynn Creek	Tennessee, U.S.A.	360 ± 20	3.6	36.28	-85.67
Gardnos	Norway	500 ± 10	5.0	60.65	9.00
Glasford	Illinois, U.S.A.	<430	4.0	40.60	-89.78
Glover Bluff	Wisconsin, U.S.A.	<500	8.0	43.97	-89.53
Goat Paddock	Western Australia, Australia	<50	5.1	-18.33	126.67
Gosses Bluff	Northern Territory, Australia	142.5 ± 0.8	22.0	-23.82	132.32
Gow	Saskatchewan, Canada	<250	5.0	56.45	-104.48
Goyder	N'rn Terr., Australia	>136	3.0	-13.48	135.03
Granby	Sweden	470	3.0	58.42	14.93
Gusev	Russia	49 ± 0.2	3.5	48.37	40.23
Gweni-Fada	Chad, Africa	<345	14.0	17.42	21.75
Haviland	Kansas, U.S.A.	<0.001	0.015	37.58	-99.17
Henbury	N'rn Territory, Australia	<0.005	0.157	-24.57	133.13
Holleford	Ontario, Canada	550 ± 100	2.4	44.47	-76.63
Ile Rouleau	Quebec, Canada	<300	4.0	50.68	-73.88
Ilumetsa	Estonia	>0.002	0.080	57.97	27.42
Ilyinets	Ukraine	395 ± 5	4.5	49.12	29.10
Iso-Naakkima	Finland	>1000	3.0	62.18	27.15
Jänisjärvi	Russia	698 ± 22	14.0	61.97	30.92
Kaalijärvi	Estonia	0.004 ± 0.001	0.110	58.40	22.67
Kalkkop	South Africa	<1.8	0.640	-32.72	24.57
Kaluga	Russia	380 ± 10	15.0	54.50	36.25
Kamensk	Russia	49 ± 0.2	25.0	48.33	40.25
Kara	Russia	73 ± 3	65.0	69.20	65.00
Kara-Kul	Tajikistan	<5	52.0	39.02	73.45
Kärdla	Estonia	455	4.0	58.98	22.67
Karikkoselkä	Finland	~230	1.5	63.22	25.25
Karla	Russia	<10	12.0	54.90	48.00
Kelly West	N'rn Territory, Australia	>550	10.0	-19.93	133.95
