VOLCANO	LOCATION	ELEV_M	LAT	LONG	ERUPTED	VNUM
West Eifel Volc Field	Germany	600	50.17	6.85	Holocene	0100-01-
Chaîne des Puys	France	1464	45.5	2.75	Holocene	0100-02-
Olot Volc Field	Spain	893	42.17	2.53	Uncertain	0100-03-
Larderello	Italy	500	43.25	10.87	AD 0-1899	0101-001
Amiata	Italy	1738	42.9	11.63	Uncertain	0101-002
Vulsini	Italy	800	42.6	11.93	Holocene	0101-003
Albano, Monte	Italy	949	41.73	12.7	Uncertain	0101-004
Campi Flegrei	Italy	458	40.83	14.14	AD 0-1899	0101-01=
Vesuvius	Italy	1281	40.82	14.43	AD 1900-2005	0101-02=
Ischia	Italy	789	40.73	13.9	AD 0-1899	0101-03=
Panarea	Italy	421	38.63	15.07	Uncertain	0101-041
Lipari	Italy	602	38.48	14.95	AD 0-1899	0101-042
Stromboli	Italy	926	38.79	15.21	AD 1900-2005	0101-04=
Vulcano	Italy	500	38.4	14.96	AD 0-1899	0101-05=
Etna	Italy	3350	37.73	15	AD 1900-2005	0101-06=
Pantelleria	Italy	836	36.77	12.02	AD 0-1899	0101-071
Campi Flegrei Mar Sicilia	Italy	-8	37.1	12.7	AD 0-1899	0101-07=
Methana	Greece	760	37.62	23.34	Holocene	0102-02=
Mílos	Greece	751	36.7	24.44	AD 0-1899	0102-03=
Santorini	Greece	367	36.4	25.4	AD 1900-2005	0102-04=
Yali	Greece	176	36.63	27.1	Holocene	0102-051
Nisyros	Greece	698	36.58	27.18	AD 0-1899	0102-05=
Kos	Greece	430	36.83	27.26	Uncertain	0102-06=
Kula	Turkey	750	38.58	28.52	Holocene	0103-00-
Karapinar Field	Turkey	1302	37.67	33.65	Holocene	0103-001
Hasan Dagi	Turkey	3253	38.13	34.17	Holocene	0103-002
Göllü Dag	Turkey	2143	38.25	34.57	Uncertain	0103-003
Acigöl-Nevsehir	Turkey	1689	38.57	34.52	Holocene	0103-004
Karaca Dag	Turkey	1957	37.67	39.83	Holocene	0103-011
Erciyes Dagi	Turkey	3916	38.52	35.48	Holocene	0103-01=
Süphan Dagi	Turkey	4158	38.92	42.82	Holocene	0103-021
Girekol	Turkey	0	39.17	43.33	Holocene	0103-022
Nemrut Dagi	Turkey	2935	38.65	42.02	AD 0-1899	0103-02=
Tendürek Dagi	Turkey	3584	39.33	43.83	AD 0-1899	0103-03=
Ararat	Turkey	5165	39.7	44.28	AD 0-1899	0103-04-
Kars Plateau	Turkey	3000	40.75	42.9	Uncertain	0103-05-
Elbrus	Russia-SW	5633	43.33	42.45	AD 0-1899	0104-01-
Kasbek	Georgia	5050	42.7	44.5	Holocene	0104-02-
Kabargin Oth Group	Georgia	3650	42.55	44	Holocene	0104-03-
Unnamed	Georgia	3750	42.45	44.25	Holocene	0104-04-
Unnamed	Georgia	3400	41.55	43.6	Holocene	0104-05-
Aragats	Armenia	4090	40.55	44.12	Holocene	0104-06-
Agmagan-Karadag	Armenia	3560	40.28	44.75	Uncertain	0104-07-
Dar-Alages	Armenia	3329	39.7	45.54	Holocene	0104-08-
Porak	Armenia	2800	40.02	45.78	Holocene	0104-09-
Tskhouk-Karckar	Armenia	3000	35.73	46.02	Holocene	0104-10-
Tair, Jebel at	Red Sea	244	15.7	41.74	AD 0-1899	0201-01=
Zukur	Red Sea	624	14.02	42.75	Holocene	0201-021
Hanish	Red Sea	422	13.72	42.73	Holocene	0201-022
Zubair, Jebel	Red Sea	191	15.05	42.18	AD 0-1899	0201-02=
Jalua	Ethiopia	713	15.04	39.82	Holocene	0201-03=
Dallol	Ethiopia	-48	14.24	40.3	AD 1900-2005	0201-041
Alid	Ethiopia	904	14.88	39.92	Holocene	0201-04=
Gada Ale	Ethiopia	287	13.98	40.41	Holocene	0201-05=
Alu	Ethiopia	429	13.82	40.55	Holocene	0201-06=
Borale Ale	Ethiopia	668	13.73	40.6	Holocene	0201-071
