             mkfindp ,	   3 ,	     2 ,	18.201 ,	 0.679,	   0
             mkxpsum ,	   1 ,	  4212 ,	10.218 ,	 3.481,	   1
                mkxp ,	   1 ,	 69032 ,	 5.903 ,	 2.646,	   2
               mkx4p ,	   8 ,	  2106 ,	18.136 ,	 2.345,	   3
          mkraydepth ,	   2 ,	  2106 ,	 7.189 ,	 2.282,	   4
         mksfer2flat ,	   0 ,	 14742 ,	 4.189 ,	 2.095,	   5
            mkinterp ,	   0 ,	  4212 ,	 3.964 ,	 1.982,	   6
             mkfindp ,	   3 ,	     1 ,	18.201 ,	 0.679,	   7
               mkgv0 ,	   0 ,	 62146 ,	 1.222 ,	 0.611,	   8
              unique ,	   0 ,	  5277 ,	 0.716 ,	 0.358,	   9
         mkfindzeros ,	   3 ,	   239 ,	16.769 ,	 0.302,	  10
             mkfindp ,	   3 ,	     2 ,	14.572 ,	 0.671,	   0
             mkxpsum ,	   1 ,	  3248 ,	 7.919 ,	 2.690,	   1
                mkxp ,	   1 ,	 53556 ,	 4.603 ,	 2.064,	   2
               mkx4p ,	   8 ,	  1624 ,	14.122 ,	 1.833,	   3
          mkraydepth ,	   2 ,	  1624 ,	 5.616 ,	 1.792,	   4
         mksfer2flat ,	   0 ,	 11368 ,	 3.254 ,	 1.627,	   5
            mkinterp ,	   0 ,	  3248 ,	 3.065 ,	 1.533,	   6
             mkfindp ,	   3 ,	     1 ,	14.572 ,	 0.671,	   7
               mkgv0 ,	   0 ,	 48329 ,	 0.951 ,	 0.475,	   8
              unique ,	   0 ,	  5277 ,	 0.712 ,	 0.356,	   9
         mkfindzeros ,	   3 ,	   239 ,	13.099 ,	 0.242,	  10
             mkfindp ,	   3 ,	     2 ,	12.357 ,	 0.590,	   0
             mkxpsum ,	   1 ,	  3248 ,	 7.039 ,	 2.394,	   1
                mkxp ,	   1 ,	 53556 ,	 4.074 ,	 1.823,	   2
               mkx4p ,	   8 ,	  1624 ,	12.106 ,	 1.593,	   3
          mkraydepth ,	   2 ,	  1624 ,	 4.495 ,	 1.418,	   4
         mksfer2flat ,	   0 ,	 11368 ,	 2.741 ,	 1.370,	   5
            mkinterp ,	   0 ,	  3248 ,	 2.482 ,	 1.241,	   6
             mkfindp ,	   3 ,	     1 ,	12.357 ,	 0.590,	   7
               mkgv0 ,	   0 ,	 48329 ,	 0.854 ,	 0.427,	   8
              unique ,	   0 ,	  5277 ,	 0.644 ,	 0.322,	   9
         mkfindzeros ,	   3 ,	   239 ,	11.047 ,	 0.206,	  10
